Rank,ARN,Name,Date,Time,ZoneAbbrev,ZoneTime,Place,Country,Latitude,Longitude,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Ascendant,Midheaven,EminenceScore
17,3433,Judy Garland,10 Jun 1922,6:00,...,+6:00,Grand Rapids,United States,47N14,093W32,78.8037321969528,269.172192850855,90.1404648693894,109.018800146889,258.918925272959,188.996465886106,180.8544827784,343.570042595932,133.758467415222,99.0327600294127,100.890844506175,343.205443879497,91.0
18,7071,Muhammad Ali,17 Jan 1942,18:35,...,+6:00,Louisville,United States,38N15,085W46,297.292932270673,312.43234700227,313.515111492856,320.670397622225,33.0582582020254,71.9566044634539,51.6598134052297,56.4690993806605,179.801261601871,124.804080405345,139.525526367384,42.2213409266207,91.0
19,3928,Jimmy Carter,1 Oct 1924,7:00,...,+6:00,Plains,United States,32N02,084W24,188.061794446285,223.796373461738,171.189024429349,143.331703101349,325.884776361091,254.430705701256,211.914398018705,348.790272706103,141.788094065414,103.52536641931,206.09620231801,118.467046090384,90.75
20,5368,Harold Pinter,10 Oct 1930,14:00,...,+0:00,London,United Kingdom,51N30,000W10,196.538647062017,48.935274375014,179.179110460175,239.016366613794,114.988637020438,109.211351349052,276.015998909712,13.2545591559785,154.846201592367,110.860832824802,285.499300148085,230.720520011803,90.75
21,6428,Václav Havel,5 Oct 1936,15:00,...,-1:00,Prague,Czech Republic,50N05,014E26,192.140151110187,77.567893664353,183.101935284008,218.36933006005,155.578783495447,258.920523767705,347.400156704336,38.5893348006858,167.459825862725,118.632606767161,300.396590753022,240.648915979828,90.75
22,2320,François Mitterrand,26 Oct 1916,4:00,...,+0:00,Jarnac,France,45N41,000W10,212.412763655972,203.717871265898,195.454748621163,170.757848106181,242.910772136342,30.0615441757132,120.333049736595,315.77597007728,124.848537843765,94.3352435260444,183.039444239267,93.6956924901807,90.5
23,5832,Philip Roth,19 Mar 1933,1:00,...,+5:00,Newark,United States,40N44,074W10,358.190461652621,273.060852647508,5.52722995899976,349.642578055448,154.498462122998,167.063053620063,312.800071825793,21.9210840440184,158.28805559089,111.288164060812,261.314803567864,193.223864589241,90.5
24,5127,Murray Gell-Mann,15 Sep 1929,19:00,...,+4:00,Manhattan,United States,40N46,073W59,172.596704009565,317.55841638087,198.979851136505,138.319517913714,196.254806027845,75.7820046088101,264.153965308198,10.0699865083183,151.923722513929,109.384000476077,352.067384139822,265.808775630049,90.25
25,851,Laurence Olivier,22 May 1907,5:00,...,+0:00,Dorking,United Kingdom,51N14,000W20,59.9578021913283,169.135942097307,57.3039541179471,29.4849914804827,287.716774718589,100.773632995771,355.548562035601,282.243099587412,100.820399962747,82.6938164544329,75.9655523240316,310.890104980681,90.0
26,5399,Jean-Luc Godard,3 Dec 1930,2:00,...,+0:00,Paris,France,48N52,002E20,250.186739484872,33.9618853453609,264.336167244795,234.168695018269,135.335742307486,109.491281165019,280.403349352831,11.5850720410861,155.777293728939,110.552920675725,189.837932602235,102.434824661515,90.0
27,1079,Claude Lévi-Strauss,28 Nov 1908,1:00,...,+0:00,Brussels,Belgium,50N50,004E20,245.4172968942,297.853676459852,231.230867868614,209.506581451559,211.597946717753,162.878048372491,3.44015754475041,284.706543870327,106.721549653413,85.1943531390794,177.061876858315,86.209177443955,89.75
28,2963,Pope John Paul II,18 May 1920,17:30,...,-2:00,Wadowice,Poland,49N53,019E30,57.3590151447965,62.6850567470188,48.5421802309021,44.8482429241523,202.433446006156,131.004294680725,154.932483655366,335.469298358301,128.975961158291,96.314868291725,207.258690751501,125.639087680502,89.75
29,1007,John Bardeen,23 May 1908,5:00,...,+6:00,Madison,United States,43N04,089W24,61.883261154712,337.76540575893,79.053082676834,103.857927509281,90.5631218134447,127.72108056137,7.31896788849393,286.497671130175,103.045792805258,83.7488626798122,70.0452928638596,313.789962675121,89.5
30,5784,Jacques Chirac,29 Nov 1932,12:00,...,+0:00,Paris,France,48N52,002E20,247.080364984355,267.956729682625,258.571956428866,213.058429966343,157.157915258339,170.885061463803,300.756413865533,19.8053765885093,160.138912195418,113.198811345104,320.777827532476,251.993839802553,89.25
31,6286,Jerry Lee Lewis,29 Sep 1935,15:00,...,+6:00,Ferriday,United States,31N38,091W33,185.779673197711,209.445601959672,210.78062142381,156.600151170316,249.156393603199,231.764393942649,334.744792352737,34.5945500330767,165.121343228788,117.227434471366,306.789879369108,233.524465621014,89.25
32,3213,John Glenn,18 Jul 1921,16:00,...,+5:00,Cambridge,United States,40N02,081W35,115.645706187297,283.20377890365,101.154008239549,70.8543400272044,109.866576191368,166.049494646631,170.752091834078,339.18477251253,132.802489979524,98.8686113378398,243.006016646287,168.617786148334,89.0
33,2081,Paul Samuelson,15 May 1915,6:00,...,+6:00,Gary,United States,41N36,087W21,53.5732729257541,68.3283547519475,68.8972247210388,22.0546499951397,21.9886419117506,352.381589531533,90.4032337212124,315.655082037144,118.010268445752,90.8120048549733,77.8574448419149,322.421129801213,88.75
34,501,Umm Kulthum,4 May 1904,4:00,...,-2:00,El Senbellawein,Egypt,30N52,031E27,43.1723562159427,274.807145085919,56.2836113586564,25.6665827994668,49.9677588411533,15.238596919258,320.377342298464,269.591560538987,93.8246887742324,79.3337100243581,18.9005366701222,281.941112240178,88.5
35,1141,Rita Levi-Montalcini,22 Apr 1909,23:00,...,-1:00,Turin,Italy,45N03,007E40,32.1146869524214,68.7655845200767,33.1887255081659,30.5880205014063,308.673027417285,154.645434835458,15.4856567301285,291.075149337762,104.521793430975,84.1727167770437,254.682474865827,188.691919560737,88.5
36,5431,James Dean,8 Feb 1931,9:00,...,+6:00,Marion (Grant County,United States,40N34,085W40,318.896557219668,215.731205034963,296.024626333018,272.202559861556,122.412744597825,101.605466628984,288.157206365619,12.447013461338,154.834631854913,109.215796375233,12.218283046406,276.506943201129,88.5
37,6299,Edward Said,1 Nov 1935,17:00,...,-2:00,Jerusalem,Israel,31N46,035E14,218.262938089885,279.004080569443,199.732979217068,172.859064563337,272.871842812161,238.369938365546,333.5417232568,33.312754127104,166.134638483287,117.411038096948,42.6269272650309,298.100053952265,88.5
38,1867,Benjamin Britten,22 Nov 1913,19:00,...,+0:00,Lowestoft,United Kingdom,52N29,001E45,239.891032993177,168.985369541635,240.993027723094,220.476026468156,114.451063332931,286.694039535527,75.8536669544097,304.275976594117,118.107997534058,90.6747516730616,108.441587948947,346.85030105341,88.25
39,2744,Nat King Cole,17 Mar 1919,3:00,...,+6:00,Montgomery,United States,32N22,086W18,355.722856578533,183.813384246408,13.3050128563971,22.5550835097712,8.16800661519048,96.1106920929132,142.550580928976,329.260589888322,126.796109560706,94.5493773087737,296.591115522853,225.050475638572,88.25
40,4795,Shirley Temple,23 Apr 1928,21:00,...,+8:00,Santa Monica,United States,34N01,118W29,33.7673008941578,89.268166701351,23.507763027956,15.5265913344608,342.721237076283,20.7792114653179,258.572916365506,5.07726868088606,146.438272866386,105.117696059445,245.262666418813,167.495328961433,88.0
41,225,Margaret Mead,16 Dec 1901,9:00,...,+5:00,Philadelphia,United States,39N57,075W10,263.949238354873,326.105952354674,254.68972156555,310.728943425094,287.188240219071,287.867421675402,285.918866898168,257.52117634016,90.254317990645,77.5662232976733,287.797192304133,221.783961699833,87.5
42,1685,Gene Kelly,23 Aug 1912,7:00,...,+5:00,Pittsburgh,United States,40N26,080W00,149.958963207653,282.613221348076,147.930337141979,163.287141128347,173.44967968957,246.209760768588,63.6007739786067,300.364089000038,114.850631552513,89.8093349151042,165.224185838762,72.8521185840465,87.25
43,5732,Luc Montagnier,18 Aug 1932,2:00,...,-1:00,Chabris,France,47N15,001E39,144.860253062041,345.315377549115,144.054044778648,101.00314333884,98.7124177406699,151.457112401491,299.701942309208,23.2373661889879,157.232287483326,112.585469996639,99.4889614681735,341.391525269454,87.25
44,4036,Pierre Boulez,26 Mar 1925,17:00,...,+0:00,Montbrison,France,45N36,004E03,5.52725601184275,31.8695760943583,23.4728353564894,358.236949721545,61.7229451375607,289.516868730583,223.445110012604,352.263670290734,140.121867145798,101.406136712339,174.465376141738,83.2715713578783,87.0
45,5573,Riccardo Giacconi,6 Oct 1931,4:00,...,-1:00,Genova,Italy,44N25,008E57,191.896482705201,117.816736534482,182.405834279732,199.354949385811,222.781388955895,136.651166827334,286.814761948873,17.6088207525353,156.836073340257,112.098799775269,163.018812163896,69.4427041204845,87.0
46,502,Salvador Dali,11 May 1904,8:45,...,+0:00,Figueras,Spain,42N16,002E58,50.2136120532057,2.4682192220849,53.4777526748116,34.5894170406712,55.1811247704123,16.8707660123452,320.66103731945,269.402382988587,94.0227761208697,79.4799227873872,112.246995671022,3.18756512534475,86.75
47,1043,Henri Cartier-Bresson,22 Aug 1908,15:00,LMT,-2:22,Chanteloup,France,48N51,002E44,148.982675359662,100.675215538514,150.909463420939,105.663379502871,148.883787977411,145.491356062404,9.39018498258716,283.322345247528,106.190073580181,85.630896953215,232.632730026259,161.197148699749,86.75
48,5524,Alice Munro,10 Jul 1931,21:00,...,+5:00,Wingham,Canada,43N53,081W19,107.817340172095,52.4627891671997,120.489472845281,91.7499014086571,167.044342029581,118.617881636004,290.127669008636,19.2889893113479,153.834606145917,110.351272450257,304.985129475496,238.932299132953,86.75
49,558,Gerhard Herzberg,25 Dec 1904,4:00,...,-1:00,Hamburg,Germany,53N33,009E59,272.918401211275,123.480725903442,286.4275252712,314.083923635133,199.7057960235,20.3909389431725,317.865089601188,270.275253398821,96.8878271278892,80.4742370099144,219.728494792612,145.929271283226,86.5
50,2163,Édith Piaf,19 Dec 1915,5:00,...,+0:00,Paris,France,48N52,002E20,266.213480391831,60.9742811844984,268.002347943869,290.493361757726,148.836815021934,350.573529910304,104.35740435131,313.082709804615,122.177177310463,92.3999070110712,233.641175320222,162.692723493006,86.5
51,470,George F. Kennan,16 Feb 1904,13:00,...,+6:00,Milwaukee,United States,43N02,087W54,326.703232786244,330.269031596535,301.623848694612,291.063469812128,351.996420539566,356.919466130508,313.488912526482,268.997805652427,93.3376033459328,78.7270448897702,95.6845674464333,340.978054220163,86.25
52,4563,Jackie Robinson,26 Apr 1927,23:20,...,+6:00,Fort Worth,United States,32N44,097W19,35.9588994049639,335.821041220572,13.9746213833148,72.3468828690145,95.9460796013417,352.925403812185,246.40597281079,1.41925369431853,144.212489447911,103.948531397691,270.643319706141,198.312373276938,86.25
53,4570,Manfred Eigen,9 May 1927,4:00,...,-1:00,Bochum,Germany,51N28,007E13,47.5042395351403,142.916885639133,35.0610865766182,86.2648203407267,102.985781897255,355.298637019919,245.644420589043,1.97537286909547,144.193721220744,104.110065387523,19.1506327264596,277.489462649515,86.25
54,5886,Joan Rivers,8 Jun 1933,2:00,...,+4:00,Brooklyn (Kings Coun,United States,40N38,073W56,76.980534429321,257.534220614086,89.3172429599522,89.6417263246792,165.814931031925,164.507030642355,316.259586985834,26.2185617820339,157.509184403439,112.03686490224,3.88090430629706,272.052018199324,86.25
55,6137,Carl Sagan,9 Nov 1934,17:05,...,+5:00,New York,United States,40N43,074W00,226.82746012338,261.859759459113,213.466568360386,224.562407115337,163.151691220719,216.465224200683,321.671222095764,28.7570201018377,164.187622889422,116.043914589739,55.3122655459695,303.327742658237,86.25
56,7153,Jimi Hendrix,27 Nov 1942,10:15,...,+7:00,Seattle,United States,47N36,122W20,244.835011840109,118.07964189214,242.948654973302,247.599243293519,227.524654959632,114.859943730901,69.373218995966,62.4723550369723,181.673831371582,127.176807507824,264.679122167215,204.195647900872,86.25
57,674,Albert Hofmann,11 Jan 1906,15:00,...,-1:00,Baden (AG),Switzerland,47N27,008E19,290.466441737962,121.116832966288,268.358326418193,282.342148243041,341.477797987027,56.6338105027365,330.309281706267,275.315701380548,98.6994674467772,81.2017913896695,86.9120891502394,326.242643758985,86.0
58,2253,Robert F. Furchgott,4 Jun 1916,2:00,...,+5:00,Charleston,United States,32N47,079W56,73.3078489933717,111.27623864985,75.9744169079726,108.534240674029,153.139856611808,26.0224389982775,105.267373550839,319.659317469339,120.656199470912,92.3243943604753,11.225605477329,276.841396391343,86.0
59,3118,Betty Friedan,4 Feb 1921,4:00,...,+6:00,Peoria,United States,40N42,089W35,315.070290413699,275.808248021391,328.278592722388,1.72747274299983,353.262415116071,167.365147728528,173.957809156476,334.476280298198,132.302612619568,97.1740430605309,263.313026935102,195.676583578705,86.0
60,5328,Neil Armstrong,5 Aug 1930,0:31,...,+5:00,Wapakoneta,United States,40N34,084W12,132.068810548284,265.39975478522,151.836114245986,174.629620290387,74.8736588805648,98.6845803455228,276.243391680514,15.2909624160756,152.512989625047,109.777689771192,62.513510242852,309.161726325681,86.0
61,312,Leni Riefenstahl,22 Aug 1902,20:00,...,-1:00,Berlin,Germany,52N29,013E21,148.71951800843,11.7266640098733,159.485491812823,123.668405291218,111.800551985,310.175137042943,292.122776899505,257.280615357018,93.1514425572163,79.5516701509361,356.225158956329,268.616974244196,85.75
62,1519,Lucille Ball,6 Aug 1911,17:00,...,+5:00,Jamestown,United States,42N06,079W14,133.29368990556,277.362186590371,159.836474237986,173.854939272737,44.1224088132873,216.437281105595,49.5875307186067,296.718203182149,112.123493330942,88.4888847466363,271.856476359632,207.033269654912,85.75
63,3446,Pierre Cardin,2 Jul 1922,14:00,...,-1:00,San Biagio di Callal,Italy,45N41,012E22,99.8389362409754,197.539608403091,82.3928381136349,135.239215227497,252.558240837668,189.979058165308,181.51330176055,343.523184955932,134.375498331621,99.5763020679962,207.936356787145,124.801462029867,85.75
64,4317,Marilyn Monroe,1 Jun 1926,9:30,...,+8:00,Los Angeles,United States,34N03,118W15,70.4443595398873,319.098384590367,66.7786507605287,28.7504218757573,350.731574478583,326.825708472401,231.44165535888,358.994858117407,142.222754028638,103.391619322331,133.071954155463,36.0075001473673,85.75
65,5847,Jean-Paul Belmondo,9 Apr 1933,9:00,...,-1:00,Neuilly sur Seine,France,48N53,002E16,19.0191608951282,182.366449788184,355.123274447752,15.8193263943809,150.908117095399,164.734122667641,314.580376321077,23.0971731746904,157.803282364449,111.239699987074,79.4469212674396,316.926448705079,85.75
66,3711,Hank Williams,17 Sep 1923,1:00,...,+6:00,Georgiana,United States,31N38,086W45,173.359914665786,260.626219594406,193.736740951213,175.203131249175,160.338010962917,225.916636141104,199.456948186242,345.253207601233,139.203439921895,102.244592184834,115.234380375073,14.6019028793743,85.5
67,389,Marguerite Yourcenar,8 Jun 1903,8:00,...,+0:00,Brussels,Belgium,50N50,004E20,76.3499016397312,235.988830553716,69.3918819760223,119.122190331658,182.312891105072,351.306858549667,309.038651062054,263.956596071589,92.7584063491799,79.1039544922105,130.392786430703,21.4929507305273,85.25
68,1358,Robert K. Merton,5 Jul 1910,21:00,...,+5:00,Philadelphia,United States,39N57,075W10,103.118199924321,92.3188249770399,87.9976470836906,67.3193225372287,130.56538221301,186.298791027578,34.9201634919093,293.668070339797,108.824524007399,86.7961262585007,310.018617763807,240.189461345037,85.25
69,2219,Gregory Peck,5 Apr 1916,8:00,...,+8:00,La Jolla (San Diego,United States,32N51,117W16,15.5346493627063,51.0717145841038,6.01192428312199,60.1115980085969,131.615185691582,12.5080758336823,100.121305433496,318.739838620323,119.874517675273,91.3191912413353,62.5215658925812,313.879327266865,85.25
70,4083,Barbara Bush,8 Jun 1925,19:00,...,+4:00,New York Presp.Hosp.,United States,40N44,073W49,77.59174529414,286.428584824607,64.4709789712601,89.8345504660426,109.006290030425,291.205167841636,218.4747258333,355.281946727787,140.197180517168,102.405185685562,241.386645522645,166.944281496287,85.25
71,4564,Coretta Scott King,27 Apr 1927,16:00,...,+6:00,Marion,United States,32N38,087W19,36.6343505171404,345.948936556526,15.0871067363251,73.1649604386124,96.3546736399326,353.069039331965,246.365090672269,1.45343672687573,144.209249966173,103.95658689883,186.459309438473,96.9550448920449,85.25
72,5715,Quino,17 Jul 1932,16:00,...,+4:00,Mendoza (Mendoza),Argentina,32S53,068W49,114.978279823203,294.382999408361,141.673232036311,89.0921255444314,77.8160768760383,144.867717539695,301.928511190507,23.3379716585524,156.186804989701,111.793698090027,272.634451926762,165.45079825044,85.25
73,8619,Steve Irwin,22 Feb 1962,1:00,...,-10:00,Melbourne,Australia,37S49,144E58,332.508468949057,174.893091703382,307.998641089794,338.598000379658,315.330385380746,322.58588090602,305.707137685378,148.324592385953,223.474572721788,159.013539960362,270.629109797867,159.448221623975,85.25
74,373,Jan Tinbergen,12 Apr 1903,23:00,LMT,-0:20,Den Haag,Netherlands,52N05,004E19,21.8406118515174,213.230756316899,21.6468658810587,53.5972595074337,182.029852972273,341.917078333844,308.196331768666,265.574538293732,91.1703300315524,77.9742833074746,246.062927855853,184.64804921167,85.0
75,735,Philip Johnson,8 Jul 1906,15:00,...,+6:00,Cleveland,United States,41N30,081W42,105.74447283639,321.567370714854,131.327275101125,141.576322910558,107.845001484633,85.2536696546582,344.911474724528,276.111499636798,100.340428966849,82.7932380894924,234.054003310645,157.508500823272,85.0
76,1911,Marguerite Duras,4 Apr 1914,4:00,...,-7:00,Gia-Dinh,Vietnam,10N48,106E42,13.2623620883295,103.921479995026,345.815708754254,25.8888266650608,107.403593443314,315.628104598102,73.525728516841,310.861738519263,115.432263489678,89.1553070339764,340.003982276329,254.370109585936,85.0
77,2089,Les Paul,9 Jun 1915,2:00,...,+6:00,Waukesha,United States,43N01,088W14,77.4047753824216,39.6782340718404,98.3428745175098,51.9259848722353,40.5495783268083,356.022805407279,93.4080465309176,315.52747116928,118.623016226572,91.3599456315395,32.2624208228903,286.946050662017,85.0
78,2549,Nicolae Ceausescu,5 Feb 1918,12:00,LMT,-1:44,Scornicesti,Romania,44N34,024E33,315.818630319296,238.426087497269,293.105691175127,323.348334819463,183.051522679201,61.6354295739018,130.720829105179,323.251740798341,125.443580735616,93.7443799716804,68.0989077902828,310.842835394926,85.0
79,1990,Jonas Salk,28 Oct 1914,7:30,...,+5:00,New York,United States,40N43,074W00,214.249030088166,334.250651477742,232.889792851176,250.567220877298,230.087628702176,313.048617830001,92.1768204911538,307.730099135855,120.447007235037,92.1089820153341,226.840526316623,147.302849313843,84.75
80,4065,Malcolm X,19 May 1925,22:25,...,+6:00,Omaha,United States,41N16,095W56,58.6317776163802,29.8553482420067,33.3501416250293,65.5541617470766,96.4956954927726,292.375370052433,219.668354002603,354.789250447354,139.891618798066,101.978834745231,274.92339129215,209.710828431439,84.75
81,6369,Glenda Jackson,9 May 1936,8:00,...,-1:00,Birkenhead,United Kingdom,53N24,003W02,48.4670600639704,258.542073500788,69.5631797799355,34.7102386110716,57.1025240265585,263.194689989685,350.100089444687,36.2577827209549,164.056950752973,115.361097653173,94.1156977603708,326.65052505493,84.75
82,7089,Aretha Franklin,25 Mar 1942,22:30,...,+5:00,Memphis,United States,35N09,090W03,4.84740792286862,107.478278705219,343.113079759525,320.129986788572,71.1763926504257,75.072055551873,54.9409792509848,57.4252269008402,178.334052347475,123.562196694634,225.778206436882,143.061144924244,84.75
83,7184,George Harrison,25 Feb 1943,0:10,...,-1:00,Liverpool,United Kingdom,53N25,002W55,335.473640152297,210.411082485838,309.893612979124,359.334876690584,291.398160612748,105.547240843034,65.9129090344463,60.7009476841858,181.363331035095,125.474013990849,213.2358427749,136.074927967874,84.75
84,618,Jean-Paul Sartre,21 Jun 1905,18:45,LMT,-2:22,Paris,France,48N52,002E20,89.5838236849755,324.528818582695,86.2128926818064,44.8803422550248,218.45265389399,54.2429689242198,332.843639830048,272.362958202091,97.5620293476716,81.4065447414755,228.710830701005,155.464617391008,84.5
85,718,André Weil,6 May 1906,19:00,LMT,-2:22,Paris Arrondissement,France,48N52,002E21,45.2214009688792,198.21546357867,18.9150956667742,65.5770092665796,65.5264993952509,70.8463662417344,342.977115002285,278.2679217055,98.230984832547,81.3695906632705,198.522511642196,113.610498035433,84.5
86,1958,Louis de Funès,31 Jul 1914,1:00,...,+0:00,Courbevoie,France,48N54,002E15,126.979012274819,230.831794995184,109.499616161682,167.858255991456,170.908984804577,318.745091337564,87.5640449188211,309.752647033345,118.300353412976,91.5114048346772,85.1739293544569,322.710315480174,84.5
87,3170,Sophie Scholl,9 May 1921,23:00,...,-1:00,Forchtenberg,Germany,49N17,009E34,48.7055536951843,75.4591514567427,48.0206297508078,24.2013505187789,62.6897151872802,158.951911973403,168.074079884144,339.132711127238,131.048470565442,97.2573803829568,266.814281135344,208.766173185694,84.5
88,3570,Franco Zeffirelli,12 Feb 1923,12:00,...,-1:00,Florence,Italy,43N46,011E15,322.720118552452,283.667088241277,299.494807291474,276.093186603626,15.9985589613148,228.237705971722,199.945255752851,342.37671497202,136.637246225727,99.3818368339686,72.3068830916117,315.255096930752,84.5
89,6380,Larry McMurtry,3 Jun 1936,20:00,...,+6:00,Wichita Falls,United States,33N55,098W30,73.265587466468,240.19560608869,67.9274483607205,66.3556912304559,75.1319024256409,260.395782059377,351.805233461967,37.6365414444398,164.011543257144,115.803127558871,258.321773590241,184.176284432761,84.5
90,27,Frédéric Joliot-Curie,19 Mar 1900,9:00,LMT,-2:22,Paris,France,48N52,002E20,358.220679134912,210.529918056494,8.24735359863159,39.8829030243499,344.44729904825,250.752800786819,274.484274485731,252.481512511083,84.2626216173833,74.7669826224169,17.4688189501037,277.516382946554,84.25
91,4560,Albert Uderzo,25 Apr 1927,7:00,...,-1:00,Fismes,France,49N18,003E41,34.0394508372192,308.070616018995,10.8949142270926,70.0197840420952,94.7871751144745,352.514264432729,246.519238862898,1.32108060006879,144.223065261433,103.9265676535,64.4930352883617,303.632482797943,84.25
92,5756,Adolfo Suárez,25 Sep 1932,13:00,...,+0:00,Cebreros,Spain,40N27,004W28,182.235420165634,121.337003713462,179.069119252503,137.166956698331,122.847848899401,159.75044345539,298.158651504429,22.1636775442272,158.636846344844,113.280371342156,263.688978604216,195.920642503199,84.25
93,2734,Andreas Papandreou,5 Feb 1919,12:00,...,-2:00,Chios,Greece,38N22,026E00,315.563712235054,14.3204560234715,302.535244706735,333.064177780091,337.048796520668,96.7989437616108,145.569881001781,327.000686987204,127.7311305166,94.8785689214908,59.4976419269716,308.079209909048,84.0
94,5566,Jean-Claude Carrière,19 Sep 1931,11:00,...,-1:00,ColombiÃ¨res-sur-Orb,France,43N34,003E00,175.502251574975,272.294771547533,157.827810001568,178.534609301219,211.379643775861,133.660353907908,286.651504066534,18.256037813449,156.272875963252,111.920893611897,226.234664055301,148.179067073792,84.0
95,5646,Johnny Cash,26 Feb 1932,7:30,...,+6:00,Kingsland,United States,33N52,092W18,336.7518125747,217.957455466414,336.468267653743,16.527560751388,331.148210298336,135.240230491496,300.254883762993,17.0334721051951,156.610633796783,110.216907211055,352.930633049708,265.773775176168,84.0
96,7625,Bruno Latour,22 Jun 1947,7:00,...,-1:00,Beaune,France,47N02,004E50,89.9875623109411,137.281044301451,113.992040420998,70.1377879700325,53.6313130045155,228.528909419133,126.971803545803,82.4225271824956,188.028516934569,131.727487293068,116.533892286013,4.81287719284916,84.0
