Index	Name	BirthYear	DescriptionText
146	Frankenstein's Monster	1797	An artificially created, sentient creature in Mary Shelley's novel, often misunderstood and seeking acceptance.
147	Victor Frankenstein	1770	The ambitious young scientist who creates the monster, then recoils in horror from his creation.
148	Captain Ahab	1800	The obsessive captain of the Pequod, driven by a monomaniacal desire for revenge against a white whale.
149	Ishmael	1820	The narrator of Moby Dick, a sailor who joins the crew of the Pequod and survives its fateful voyage.
150	Moby Dick	Unknown	A giant white sperm whale of legendary cunning and ferocity, the object of Captain Ahab's relentless pursuit.
151	Ebenezer Scrooge	1786	A miserly, cold-hearted old man who despises Christmas, until he is visited by three ghosts.
152	Bob Cratchit	1805	Scrooge's overworked and underpaid clerk, a kind and humble family man.
153	Tiny Tim	1835	Bob Cratchit's young, crippled son, whose optimistic spirit touches Scrooge.
154	Oliver Twist	1828	An orphan boy who endures a miserable existence in a workhouse before falling in with a gang of pickpockets.
155	Artful Dodger (Jack Dawkins)	1825	A charismatic and skilled young pickpocket in Fagin's gang, who befriends Oliver.
156	Fagin	1790	An elderly criminal who teaches orphaned boys to pick pockets and commit other crimes in exchange for shelter.
157	Nancy	1815	A young woman in Fagin's gang, sympathetic to Oliver, whose loyalty ultimately leads to her tragic end.
158	Bill Sikes	1800	A brutal professional burglar and Fagin's associate, known for his violent temper.
159	Miss Havisham	1786	An eccentric wealthy spinster who was jilted at the altar and wears her wedding dress for the rest of her life.
160	Estella Havisham	1810	Miss Havisham's beautiful and cold-hearted adopted daughter, raised to break men's hearts.
161	Pip (Philip Pirrip)	This line is intentionally misformatted; it doesn't have enough tabs and the year is not an integer.
Index	Name	BirthYear	DescriptionText
162	Pip (Philip Pirrip)	1812	An orphan boy who rises from humble beginnings, with great expectations shaped by mysterious benefactors.
163	Joe Gargery	1800	Pip's kind-hearted brother-in-law and childhood guardian, a simple and honest blacksmith.
164	Abel Magwitch	1780	An escaped convict who becomes Pip's secret benefactor, driven by a rough sense of gratitude.
165	Robinson Crusoe	1632	A mariner who spends twenty-eight years shipwrecked on a remote tropical island.
166	Friday	1660	A Caribbean native rescued by Robinson Crusoe, becoming his loyal servant and companion.
167	Lemuel Gulliver	1661	A ship's surgeon and traveler who embarks on extraordinary voyages to fantastical lands like Lilliput and Brobdingnag.
168	Captain Long John Silver	1700	A charismatic and cunning one-legged pirate, serves as the cook aboard the Hispaniola.
169	Jim Hawkins	1740	A young boy who finds a treasure map and embarks on an adventure aboard the Hispaniola.
170	Dr. Livesey	1710	A calm, resourceful, and courageous doctor and magistrate who accompanies Jim on the treasure hunt.
171	Ben Gunn	1700	A former pirate marooned for three years on Treasure Island, eccentric but helpful.
172	Tom Sawyer	1835	A mischievous and imaginative boy living in a small town on the Mississippi River.
173	Huckleberry Finn	1835	Tom Sawyer's best friend, an adventurous and independent boy escaping an abusive father.
174	Becky Thatcher	1836	Tom Sawyer's sweetheart, known for her charm and participation in some of Tom's adventures.
175	Aunt Polly	1790	Tom Sawyer's stern but loving aunt and guardian, constantly trying to civilize him.
176	The Moomins	1940	A family of white, round, hippo-like trolls from Moominvalley, known for their gentle and adventurous nature. (Figurative "birth year")
177	Snufkin	1940	A philosophical wanderer and Moomintroll's best friend, values freedom and nature. (Figurative "birth year")
178	Little My	1940	A small, fiercely independent, and mischievous Mymble girl, often brutally honest. (Figurative "birth year")
179	Pippi Longstocking	1940	An unconventional and super-strong nine-year-old girl living alone with a horse and a monkey. (Figurative "birth year")
180	Draculaura	1600	A friendly and optimistic vampire, daughter of Dracula, known for her veganism and fashion sense. (Monster High)
181	Frankie Stein	15	Daughter of Frankenstein's monster, clumsy, kind, and eager to learn about the world. (Monster High, age in days when introduced)
182	Clawdeen Wolf	15	Daughter of the Werewolf, fierce, confident, and fashion-forward with a large family. (Monster High)
183	Lagoona Blue	15	Daughter of the Sea Monster, laid-back, friendly, and an advocate for ocean conservation. (Monster High)
184	Ghoulia Yelps	16	Daughter of the Zombies, the smartest ghoul in school, speaks only in moans and groans. (Monster High, zombie years)
185	Cleo De Nile	5842	Daughter of the Mummy, a royal princess known for her confidence, leadership, and sometimes bossy attitude. (Monster High)
186	Optimus Prime	-9000000	Leader of the Autobots, a noble and courageous transforming robot dedicated to peace and protecting life. (Transformers, approx. age)
187	Megatron	-9000000	Leader of the Decepticons, a ruthless and power-hungry transforming robot seeking galactic domination. (Transformers, approx. age)
188	Bumblebee	-4000000	A young, brave, and friendly Autobot scout, often serves as a bridge between humans and Transformers. (Transformers, approx. age)
189	Starscream	-9000000	Megatron's ambitious and treacherous second-in-command, constantly scheming to usurp leadership. (Transformers, approx. age)
190	SpongeBob SquarePants	1986	An eternally optimistic and energetic sea sponge, works as a fry cook at the Krusty Krab. (Character's "birth year" based on driver's license in show)
191	Patrick Star	1986	SpongeBob's best friend, a dim-witted but lovable pink starfish. (Figurative)
192	Squidward Tentacles	1977	SpongeBob's cynical and искусство-loving neighbor and coworker, an octopus who craves peace and quiet. (Figurative)
193	Mr. Krabs (Eugene H. Krabs)	1942	The greedy, money-obsessed owner of the Krusty Krab, a crab who is SpongeBob's boss. (Figurative)
194	Sandy Cheeks	1987	A thrill-seeking and intelligent squirrel from Texas living underwater in a treedome, a scientist and inventor. (Figurative)
195	WALL-E	2100	A solitary waste allocation load lifter robot left on a deserted Earth, develops sentience and falls in love. (Approx. operational start)
196	EVE (Extraterrestrial Vegetation Evaluator)	2805	A sleek, advanced probe robot sent to Earth to search for signs of sustainable life. (Approx. activation year)
197	Forrest Gump	1944	A kind-hearted man with a low IQ who inadvertently participates in many defining historical moments.
198	Jenny Curran	1945	Forrest Gump's childhood friend and lifelong love, leads a troubled and nomadic life.
199	Lieutenant Dan Taylor	1940	Forrest Gump's platoon leader in Vietnam, initially bitter after losing his legs but finds peace.
200	Bubba Blue (Benjamin Buford Blue)	1944	Forrest Gump's best friend in the army, dreams of starting a shrimping business.
201	Master Yoda	-896	Ancient and powerful Jedi Master, known for his wisdom, unique syntax, and connection to the Force. (BBY)
