"ARN","Name","EminenceScore"
"4248","Paul Bocuse","82.00"
"4632","Rosalynn Carter","82.00"
"3031","Ray Bradbury","81.75"
"3509","Kurt Vonnegut","81.75"
"568","Christian Dior","81.75"
"4482","Tom Jobim","81.75"
"4701","King of Thailand Bhumibol","81.75"
"180","Jean Dubuffet","81.75"
"422","Claudette Colbert","81.75"
"1588","Charles Addams","81.75"
"2208","Hans Jürgen Eysenck","81.75"
"3297","Charles Bronson","81.75"
"3879","Chet Atkins","81.75"
"3890","Don Knotts","81.75"
"5588","Monica Vitti","81.75"
"2408","Ella Fitzgerald","81.50"
"5647","Elizabeth Taylor","81.50"
"4927","Ennio Morricone","81.50"
"8219","Eddie Van Halen","81.50"
"174","Barbara Cartland","81.50"
"1686","Erich Honecker","81.50"
"2289","C. Wright Mills","81.50"
"4845","Peyo","81.50"
"5158","Ed Asner","81.50"
"6006","Rue McClanahan","81.50"
"2679","Billy Graham","81.25"
"5337","Sean Connery","81.25"
"28","Erich Fromm","81.25"
"476","Karl Rahner","81.25"
"935","Alberto Moravia","81.25"
"2512","Robert Byrd","81.25"
"4784","James Garner","81.25"
"4987","Chespirito","81.25"
"6652","Peter Jennings","81.25"
"953","Simone de Beauvoir","81.00"
"154","Emperor of Japan Hirohito","81.00"
"5148","Ursula K. Le Guin","81.00"
"149","Jacques Lacan","81.00"
"1452","Josef Mengele","81.00"
"2159","Elisabeth Schwarzkopf","81.00"
"2423","Kirk Kerkorian","81.00"
"6996","Roberto Carlos","81.00"
"845","Katharine Hepburn","80.75"
"7268","Jim Morrison","80.75"
"543","Graham Greene","80.75"
"159","Max Euwe","80.75"
"2782","Huston Smith","80.75"
"4231","Ruth Asawa","80.75"
"6135","Umberto Agnelli","80.75"
"6269","Geraldine Ferraro","80.75"
"6414","Buddy Holly","80.50"
"1534","Bill Monroe","80.50"
"6828","Phil Spector","80.50"
"522","Henri Cartan","80.50"
"629","Myrna Loy","80.50"
"1050","Edoardo Amaldi","80.50"
"3919","Maurice Jarre","80.50"
"4842","Jean-Marie Le Pen","80.50"
"2064","Billie Holiday","80.25"
"8674","Garry Kasparov","80.25"
"228","Marlene Dietrich","80.25"
"8419","Terry Fox","80.25"
"200","Robert Bresson","80.25"
"2167","William Masters","80.25"
"1351","Gordon B. Hinckley","80.25"
"2482","Violeta Parra","80.25"
"4191","Julie Harris","80.25"
"5999","Florence Henderson","80.25"
"6610","Maynard Jackson","80.25"
"6647","Diana Rigg","80.25"
"6807","Clive James","80.25"
"4282","Hugh Hefner","80.00"
"4270","Dario Fo","80.00"
"5959","Larry King","80.00"
"6308","Jack Welch","80.00"
"13","Hans-Georg Gadamer","80.00"
"4797","Yves Klein","80.00"
"773","Jean Leray","80.00"
"3323","Steve Allen","80.00"
"3366","Herman Kahn","80.00"
"5353","Thomas P. Stafford","80.00"
"6522","Ned Beatty","80.00"
"7211","Rafaella Carrà","80.00"
"6294","Luciano Pavarotti","79.75"
"5131","Barbara Walters","79.75"
"3462","John B. Goodenough","79.75"
"4951","Philip K. Dick","79.75"
"8197","Stevie Ray Vaughan","79.75"
"1692","David Packard","79.75"
"4506","Hubert de Givenchy","79.75"
"8298","Anthony Bourdain","79.75"
"241","Manuel Álvarez Bravo","79.75"
"4276","Gus Grissom","79.75"
"5944","Manuel Garrincha","79.75"
"1006","James Stewart","79.50"
"4290","Harper Lee","79.50"
"4346","Elisabeth Kübler-Ross","79.50"
"4140","Seymour Cray","79.50"
"4151","Lenny Bruce","79.50"
"3231","Alex Haley","79.50"
"167","Henri Lefebvre","79.50"
"271","Max Ophüls","79.50"
"946","I. F. Stone","79.50"
"4092","Audie Murphy","79.50"
"4318","Andy Griffith","79.50"
"4830","Ruth Westheimer","79.50"
"5175","Kenneth MacMillan","79.50"
"5403","Jean-Louis Trintignant","79.50"
"5978","Bart Starr","79.50"
"6433","Charlie Daniels","79.50"
"4158","Johnny Carson","79.25"
"7175","Janis Joplin","79.25"
"1680","Julia Child","79.25"
"7390","Joël Robuchon","79.25"
"4071","Joshua Lederberg","79.25"
"4638","Harry Markowitz","79.25"
"7483","Robert Shiller","79.25"
"7877","Karen Carpenter","79.25"
"2154","Augusto Pinochet","79.25"
"1598","Arne Næss","79.25"
"247","Heinz Rühmann","79.25"
"1111","Joseph L. Mankiewicz","79.25"
"1608","Pierre Boulle","79.25"
"2377","Guillermo González Camarena","79.25"
"2546","Muriel Spark","79.25"
"2877","Pierre Soulages","79.25"
"3756","Bob Barker","79.25"
"5614","Guy Louis Debord","79.25"
"5681","Anouk Aimée","79.25"
"6145","Abimael Guzmán","79.25"
"1456","Tennessee Williams","79.00"
"4775","Fred Rogers","79.00"
"3988","Gilles Deleuze","79.00"
"4824","Agnès Varda","79.00"
"6927","Pina Bausch","79.00"
"5184","Chet Baker","79.00"
"930","Pedro Arrupe","79.00"
"960","Stéphane Grappelli","79.00"
"3770","Max Roach","79.00"
"4253","Richard Matheson","79.00"
"4336","Conrad Hall","79.00"
"4401","Paul Janssen","79.00"
"5426","Ernie Banks","79.00"
"5958","Françoise Héritier","79.00"
"6689","Gordon Lightfoot","79.00"
"6926","Jean-Luc Nancy","79.00"
"5250","Sandra Day O'Connor","78.75"
"852","Hergé","78.75"
"5768","Sylvia Plath","78.75"
"4597","Bob Fosse","78.75"
"7278","John Denver","78.75"
"2487","Arthur Jr. Schlesinger","78.75"
"8073","Bell Hooks","78.75"
"8754","Eazy-E","78.75"
"520","Ernst Mayr","78.75"
"5376","Johan Galtung","78.75"
"89","Alfred Winslow Jones","78.75"
"971","Balthus","78.75"
"1155","Guy de Rothschild","78.75"
"3205","Eunice Shriver","78.75"
"3355","Haskell Wexler","78.75"
"7966","Joan Sebastian","78.75"
"419","Theodor W. Adorno","78.50"
"7142","Michael Crichton","78.50"
"6962","Terry Gilliam","78.50"
"4184","William F. Jr. Buckley","78.50"
"5466","Daniel Ellsberg","78.50"
"6354","F. W. de Klerk","78.50"
"7628","O. J. Simpson","78.50"
"628","Clara Bow","78.50"
"3137","Gianni Agnelli","78.50"
"3757","Philip W. Anderson","78.50"
"1064","Carole Lombard","78.50"
"5606","Bhagwan Shree Rajneesh","78.50"
"45","Jan Hendrik Oort","78.50"
"1444","Bill Bowerman","78.50"
"594","Jean Vigo","78.50"
"599","Floyd Gottfredson","78.50"
"2287","Frederick Robbins","78.50"
"3163","Karel Christian Appel","78.50"
"5341","Michel Serres","78.50"
"6184","Mirella Freni","78.50"
"6462","Don Everly","78.50"
"2127","Ingrid Bergman","78.25"
"1145","Edwin H. Land","78.25"
"6365","Roy Orbison","78.25"
"2660","Hans Scholl","78.25"
"972","Rex Harrison","78.25"
"1971","Robert Wise","78.25"
"2756","Chavela Vargas","78.25"
"3410","Toots Thielemans","78.25"
"4763","James Earl Ray","78.25"
"5478","Walter Mercado","78.25"
"3990","Paul Newman","78.00"
"484","B.F. Skinner","78.00"
"2486","Thelonious Monk","78.00"
"4808","Burt Bacharach","78.00"
"5235","Tom Wolfe","78.00"
"7013","Chick Corea","78.00"
"4980","Jerry Goldsmith","78.00"
"6282","Ken Kesey","78.00"
"349","Georges Simenon","78.00"
"7501","Bon Scott","78.00"
"7664","Marc Bolan","78.00"
"1915","María Félix","78.00"
"2494","Joan Fontaine","78.00"
"2693","Patricio Aylwin","78.00"
"1909","Octavio Paz","77.75"
"3404","Charles Mingus","77.75"
"5642","Ted Kennedy","77.75"
"3840","Henry Mancini","77.75"
"6922","Alex Trebek","77.75"
"95","Heinrich Himmler","77.75"
"7490","André the Giant","77.75"
"1431","George Stigler","77.75"
"5964","Paul J. Crutzen","77.75"
"221","Milton Erickson","77.75"
"128","Rene Jules Dubos","77.75"
"1307","Chico Xavier","77.75"
"1421","Paul Bowles","77.75"
"1836","Robertson Davies","77.75"
"4156","Art Buchwald","77.75"
"4975","John Henry Holland","77.75"
"7193","Michael Bennett","77.75"
"8547","Fernando Valenzuela","77.75"
"8878","Layne Staley","77.75"
"4517","Harry Belafonte","77.50"
"7109","Roger Ebert","77.50"
"7347","Barry White","77.50"
"2619","Franco Modigliani","77.50"
"5644","Michel Legrand","77.50"
"6719","Ray Manzarek","77.50"
"7030","David Crosby","77.50"
"3306","Roy Campanella","77.50"
"7545","Robert Mapplethorpe","77.50"
"435","Charlotte Perriand","77.50"
"1704","John W. Gardner","77.50"
"2805","William Kunstler","77.50"
"3368","Helen Gurley Brown","77.50"
"3582","Dexter Gordon","77.50"
"4277","Roger Corman","77.50"
"4779","Robert Badinter","77.50"
"5050","Beverly Sills","77.50"
"6362","Raymond Poulidor","77.50"
"5247","Steve McQueen","77.25"
"1994","George Dantzig","77.25"
"6346","Barbara Jordan","77.25"
"2965","Peggy Lee","77.25"
"4263","Thomas Starzl","77.25"
"5505","John Baldessari","77.25"
"9039","River Phoenix","77.25"
"1375","Tjalling Charles Koopmans","77.25"
"6108","Kate Millett","77.25"
"57","Hans Frank","77.25"
"1140","Indro Montanelli","77.25"
"2478","El Santo","77.25"
"7037","Cass Elliot","77.25"
"5997","Bill Russell","77.00"
"1872","Willy Brandt","77.00"
"3080","Dave Brubeck","77.00"
"5747","Patsy Cline","77.00"
"4645","Paul Volcker","77.00"
"6515","Waylon Jennings","77.00"
"4895","Cannonball Adderley","77.00"
"6679","Evel Knievel","77.00"
"8076","Roseanne Barr","77.00"
"1161","Matt Busby","77.00"
"2350","Shirley Jackson","77.00"
"2642","Paul D. Boyer","77.00"
"5918","Robert Curl","77.00"
"6418","Ferid Murad","77.00"
"6673","Eddie Cochran","77.00"
"7732","Nick Drake","77.00"
"3515","Eugene Stoner","77.00"
"5971","David Marr","77.00"
"1600","Eva Braun","77.00"
"119","Henning von Tresckow","77.00"
"395","Pierre Brossolette","77.00"
"465","Seán MacBride","77.00"
"745","Marcel Carné","77.00"
"2238","João Havelange","77.00"
"2411","Danielle Darrieux","77.00"
"2885","Osamu Hayaishi","77.00"
"3218","Giuseppe Di Stefano","77.00"
"4489","Juliette Gréco","77.00"
"5072","Itamar Franco","77.00"
"6083","Jacques d'Amboise","77.00"
"6095","Vincent Bugliosi","77.00"
"6242","Monique Wittig","77.00"
"4554","Pope Benedict XVI","76.75"
"3577","Chuck Yeager","76.75"
"2996","Yul Brynner","76.75"
"7097","Tammy Wynette","76.75"
"3585","Wes Montgomery","76.75"
"6138","Charles Manson","76.75"
"8930","Susan Wojcicki","76.75"
"1628","Robert Doisneau","76.75"
"6002","Barry Humphries","76.75"
"5745","Robert H. Dennard","76.75"
"3032","Denton Arthur Cooley","76.75"
"1437","Jussi Bjorling","76.75"
"1578","Stan Kenton","76.75"
"1728","Tip O'Neill","76.75"
"1868","Mary Martin","76.75"
"3060","Miguel Delibes","76.75"
"3767","Yvonne Choquet-Bruhat","76.75"
"3817","Franco Basaglia","76.75"
"3964","Geraldine Page","76.75"
"5080","Hélène Carrère d'Encausse","76.75"
"640","Greta Garbo","76.50"
"8611","Jim Carrey","76.50"
"5255","Helmut Kohl","76.50"
"6146","Joan Didion","76.50"
"1521","Cantinflas","76.50"
"4535","Daniel Moynihan","76.50"
"6073","Van Cliburn","76.50"
"6916","Chuck Close","76.50"
"7360","Keith Emerson","76.50"
"8115","James Horner","76.50"
"1949","Lyman Spitzer","76.50"
"4010","Edward Gorey","76.50"
"4275","Anne McCaffrey","76.50"
"8987","Elliott Smith","76.50"
"4187","Claude Lanzmann","76.50"
"4411","Donald Glaser","76.50"
"4843","Eric Dolphy","76.50"
"5404","Silvio Santos","76.50"
"8848","Jeff Buckley","76.50"
"73","Teresa of the Andes","76.50"
"591","Frits Philips","76.50"
"1953","Gino Bartali","76.50"
"2233","Glenn Ford","76.50"
"2415","Lou Harrison","76.50"
"4247","Leslie Nielsen","76.50"
"6105","Roger Maris","76.50"
"7937","Christina Onassis","76.50"
"4007","Robert Altman","76.25"
"3824","Sarah Vaughan","76.25"
"4157","Robert Rauschenberg","76.25"
"5661","John Updike","76.25"
"8397","Ellen DeGeneres","76.25"
"7219","Arthur Ashe","76.25"
"6648","Natalie Wood","76.25"
"638","Arthur Koestler","76.25"
"2995","Owen Chamberlain","76.25"
"8578","Boy George","76.25"
"1817","Willis Lamb","76.25"
"3646","Ellsworth Kelly","76.25"
"3898","Jean-François Lyotard","76.25"
"4043","Tony Benn","76.25"
"6069","Michael Graves","76.25"
"6972","Captain Beefheart","76.25"
"2831","Fausto Coppi","76.25"
"5903","Syd Mead","76.25"
"622","Juan O'Gorman","76.25"
"186","Franco Rasetti","76.25"
"2578","Bernd Alois Zimmermann","76.25"
"3114","Carol Channing","76.25"
"4540","François Furet","76.25"
"4767","Félix Rodríguez de la Fuente","76.25"
"4781","Joseph Bernardin","76.25"
"5713","Hubert Reeves","76.25"
"5929","David McCallum","76.25"
"6209","Bernard Pivot","76.25"
"6483","Claude Allègre","76.25"
"6609","Luigi Tenco","76.25"
"7903","Jack Layton","76.25"
"8784","Rodney King","76.25"
"1638","Marten Toonder","76.25"
"2345","Kirk Douglas","76.00"
"8592","James Gandolfini","76.00"
"3276","Yves Montand","76.00"
"6097","Norman Jr. Schwarzkopf","76.00"
"1450","Jean Harlow","76.00"
"3935","James Clavell","76.00"
"4774","Hans Küng","76.00"
"6815","Grace Slick","76.00"
"7146","Larry Flynt","76.00"
"2994","David Brinkley","76.00"
"3771","Roger Guillemin","76.00"
"4621","John Ashbery","76.00"
"5286","Sonia Rykiel","76.00"
"5287","John Barth","76.00"
"5697","Frank Williams","76.00"
"2753","John Houbolt","76.00"
"2550","Lothar-Günther Buchheim","76.00"
"450","Johannes Heesters","76.00"
"1592","Michel Debré","76.00"
"1620","Karl Malden","76.00"
"2216","Eugene McCarthy","76.00"
"3208","Arthur Pardee","76.00"
"3388","Ugo Tognazzi","76.00"
"3436","Margherita Hack","76.00"
"4696","Alfredo Kraus","76.00"
"5014","Nigel Hawthorne","76.00"
"5132","Ronnie Barker","76.00"
"5602","Zeki Müren","76.00"
"732","Hans Bethe","75.75"
"993","Herbert von Karajan","75.75"
"5994","Hank Aaron","75.75"
"5724","Peter O'Toole","75.75"
"5888","Gene Wilder","75.75"
"6484","Merle Haggard","75.75"
"6374","Dennis Hopper","75.75"
"7972","Dale Earnhardt","75.75"
"3776","Benny Hill","75.75"
"8274","Bill Maher","75.75"
"7207","Nikki Giovanni","75.75"
"7388","Elis Regina","75.75"
"266","Alfred Kastler","75.75"
"1229","Norberto Bobbio","75.75"
"5678","Halston","75.75"
"6891","Wayne Dyer","75.75"
"8414","Marie Fredriksson","75.75"
"8981","Jenni Rivera","75.75"
"542","Hans Hartung","75.75"
"215","Joaquín Rodrigo","75.75"
"1051","Cesare Pavese","75.75"
"1715","Alfredo Stroessner","75.75"
"4897","Roddy McDowall","75.75"
"7242","Rocio Jurado","75.75"
"7770","Saroj Khan","75.75"
"8038","Maria Schneider","75.75"
"3397","Doris Day","75.50"
"3720","Charlton Heston","75.50"
"8517","Ayrton Senna","75.50"
"6450","Mary Tyler Moore","75.50"
"4105","Merv Griffin","75.50"
"4177","Rock Hudson","75.50"
"4949","Helen Frankenthaler","75.50"
"6324","Phil Donahue","75.50"
"4603","Ken Russell","75.50"
"6044","Harlan Ellison","75.50"
"6708","Phil Everly","75.50"
"6717","Claude François","75.50"
"8358","Sid Vicious","75.50"
"3245","Maxime Faget","75.50"
"126","Richard Brauer","75.50"
"323","Eugen Jochum","75.50"
"866","Paul Mellon","75.50"
"931","Burgess Meredith","75.50"
"4885","Pierre Troisgros","75.50"
"5887","F. Lee Bailey","75.50"
"6052","Prince Consort of Denmark Henrik","75.50"
"8452","Patrick Dupond","75.50"
"3335","Betty White","75.25"
"5481","Willie Mays","75.25"
"3864","Charles Aznavour","75.25"
"8154","Ron Howard","75.25"
"8677","Conan O'Brien","75.25"
"2027","Robert Motherwell","75.25"
"5799","Nichelle Nichols","75.25"
"6017","Gene Cernan","75.25"
"6218","Leonardo Del Vecchio","75.25"
"2572","Mickey Spillane","75.25"
"6651","Alberto Fujimori","75.25"
"7288","Jerry Springer","75.25"
"8244","Sam Simon","75.25"
"1139","Rollo May","75.25"
"1721","Otto von Habsburg","75.25"
"3440","Bill Blass","75.25"
"4469","Robert Bly","75.25"
"1668","David Brower","75.25"
"4134","James Burke","75.25"
"4528","Robert Kearns","75.25"
"210","King of Belgium Leopold III","75.25"
"300","Rolf Widerøe","75.25"
"915","Francisco Gabilondo Soler","75.25"
"2823","Theodore W. Allen","75.25"
"4202","Pierre Bérégovoy","75.25"
"4681","Gilbert Bécaud","75.25"
"6775","Milva","75.25"
"2710","Helmut Schmidt","75.00"
"6359","John Madden","75.00"
"6386","Kris Kristofferson","75.00"
"7867","Natalie Cole","75.00"
"4108","Jacques Delors","75.00"
"5682","Casey Kasem","75.00"
"345","Claudio Arrau","75.00"
"6501","Roger Zelazny","75.00"
"8412","Paul Weller","75.00"
"4365","Stan Freberg","75.00"
"7293","Mary Wilson","75.00"
"7463","Naomi Judd","75.00"
"8339","Payne Stewart","75.00"
"4785","Jimmie C. Holland","75.00"
"5488","Marshall Applewhite","75.00"
"1368","Gerda Taro","75.00"
"1516","Jackie Ormes","75.00"
"1677","Bangalore Venkata Raman","75.00"
"990","Franz Stangl","75.00"
"1","Xavier Cugat","75.00"
"881","George W. Romney","75.00"
"1635","Odette Sansom","75.00"
"1884","Etty Hillesum","75.00"
"2500","Jacqueline Auriol","75.00"
"3773","Roland Petit","75.00"
"4717","Daniel Rostenkowski","75.00"
"5089","Emmanuel Le Roy Ladurie","75.00"
"5443","José Luis Cuevas","75.00"
"5480","Richard Williams","75.00"
"5858","Meadowlark Lemon","75.00"
"6550","Jean-Pierre Elkabbach","75.00"
"4152","Angela Lansbury","74.75"
"2437","Lena Horne","74.75"
"1439","Elizabeth Bishop","74.75"
"4008","Sam Peckinpah","74.75"
"5703","Mario Cuomo","74.75"
"8069","Patrick Swayze","74.75"
"6850","Peter Fonda","74.75"
"8988","Matthew Perry","74.75"
"730","Jean Dieudonné","74.75"
"5305","Carlos Menem","74.75"
"6985","Mike Love","74.75"
"2542","Oral Roberts","74.75"
"5412","Odetta","74.75"
"5631","Robert Coover","74.75"
"7166","Michael Nesmith","74.75"
"7894","Chantal Akerman","74.75"
"2979","John Howard Griffin","74.75"
"459","Karl Brandt","74.75"
"70","Alessandro Blasetti","74.75"
"606","Joseph Cotten","74.75"
"840","Gabriel Figueroa","74.75"
"1632","Eve Arnold","74.75"
"2989","Leona Helmsley","74.75"
"3286","Lucian Pye","74.75"
"3687","Jim Reeves","74.75"
"5680","Francis Lai","74.75"
"5124","Arnold Palmer","74.50"
"9604","Amy Winehouse","74.50"
"5363","Richard Harris","74.50"
"7589","Farrah Fawcett","74.50"
"2580","Howard Cosell","74.50"
"3984","Gwen Verdon","74.50"
"5237","Lorin Maazel","74.50"
"6667","Romy Schneider","74.50"
"6349","Jim Clark","74.50"
"7344","Molly Ivins","74.50"
"7563","Patty Duke","74.50"
"426","Diana Vreeland","74.50"
"3251","Jack Valenti","74.50"
"23","Fritz London","74.50"
"64","Martin Bormann","74.50"
"2025","Santiago Carrillo","74.50"
"4123","Laurent de Brunhoff","74.50"
"6465","William Lawvere","74.50"
"257","Théodore Monod","74.50"
"2956","Michele Sindona","74.50"
"571","John O'Hara","74.50"
"737","Clifford Odets","74.50"
"831","Lucia dos Santos","74.50"
"1660","Mary McCarthy","74.50"
"1838","Bill Shankly","74.50"
"3113","Donna Reed","74.50"
"3244","Monty Hall","74.50"
"4257","Miguel León-Portilla","74.50"
"5125","Paul Terasaki","74.50"
"6631","Peter Yarrow","74.50"
"6806","Marie Laforêt","74.50"
"1506","Ginger Rogers","74.25"
"3623","Aaron Spelling","74.25"
"6986","Bernardo Bertolucci","74.25"
"5666","Debbie Reynolds","74.25"
"2818","Dino De Laurentiis","74.25"
"5357","John W. Young","74.25"
"5352","Edgar Mitchell","74.25"
"5853","Jayne Mansfield","74.25"
"1094","Quentin Crisp","74.25"
"3290","King of Romania Michael","74.25"
"5809","Shari Lewis","74.25"
"6090","Yves Coppens","74.25"
"6150","Alasdair Gray","74.25"
"6686","Terrence McNally","74.25"
"7568","Carl Wilson","74.25"
"7650","James Hunt","74.25"
"7795","Eddie Money","74.25"
"2675","Clarence Walton Lillehei","74.25"
"934","Dora Maar","74.25"
"4883","Alain Rey","74.25"
"6591","Bruce McEwen","74.25"
"2348","Elena Garro","74.25"
"153","Michel Leiris","74.25"
"891","Miguel Torga","74.25"
"1175","Juan Carlos Onetti","74.25"
"2765","Cesar Manrique","74.25"
"3243","Bernard d'Espagnat","74.25"
"3309","Françoise Gilot","74.25"
"3334","Albert Lamorisse","74.25"
"3876","George Mikan","74.25"
"4027","Roy Haynes","74.25"
"4053","Iwao Takamoto","74.25"
"4163","Zoot Sims","74.25"
"4747","Leslie E. Robertson","74.25"
"5391","Owen Garriott","74.25"
"6070","Alfred Biolek","74.25"
"6189","Donald D. Clayton","74.25"
"8745","Lucky Dube","74.25"
"2254","Robert S. McNamara","74.00"
"6272","William Friedkin","74.00"
"6466","Roberta Flack","74.00"
"7213","James Levine","74.00"
"2695","Madeleine L'Engle","74.00"
"7069","Maurizio Pollini","74.00"
"5818","Emmanuel Ungaro","74.00"
"5977","Jacques Anquetil","74.00"
"7052","Helen Reddy","74.00"
"5599","Tomi Ungerer","74.00"
"2508","Pedro Infante","74.00"
